store,websites,store_id,attribute_set,type,product_type_id,has_options,name,product_name,sku,price,weight,status,category_ids,visibility,description,short_description,meta_title,meta_keyword,meta_description,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,url_key,url_path,custom_design,custom_design_from,custom_design_to,page_layout,custom_layout_update,options_container,gift_message_available,enable_googlecheckout,tax_class_id,news_from_date,news_to_date,is_in_stock,manage_stock,use_config_manage_stock,,framer_config[mounts_count],framer_config[mounts_multi_price],framer_config[mounts_begin_price],framer_config[frames_begin_price],framer_config[a_few_images_price],framer_config_options,framer_config[image_generate],framer_apertures_options,frames,mounts,thickness,glazing,wall_view,re_skus,casier,qty
eng,collection,12,Default,framer,framer,1,Consani Legal Action,Consani Legal Action,w3932,9.99,0,Enabled,"167, 167","Catalog, Search",24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,,,,+/3932.jpg,+/3932.jpg,+/3932.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A1,100
fra,collection,13,Default,framer,framer,1,Consani Legal Action,Consani Legal Action,w3932,9.99,0,Enabled,"167, 167","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,,,,+/3932.jpg,+/3932.jpg,+/3932.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A1,100
en,grifgraf,11,Default,framer,framer,1,Consani Legal Action,Consani Legal Action,3932,32.99,0,Enabled,"122, 134, 134, 135","Catalog, Search",24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,,,,+/3932.jpg,+/3932.jpg,+/3932.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A1,100
fr,grifgraf,10,Default,framer,framer,1,Consani Legal Action,Consani Legal Action,3932,32.99,0,Enabled,"122, 134, 134, 135","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,,,,+/3932.jpg,+/3932.jpg,+/3932.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A1,100
eng,collection,12,Default,framer,framer,1,Consani Java Dreams Marilyn Monroe Elvis Presley James Dean,Consani Java Dreams Marilyn Monroe Elvis Presley James Dean,w3933,9.99,0,Enabled,"167, 167","Catalog, Search",24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,,,,+/3933.jpg,+/3933.jpg,+/3933.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
fra,collection,13,Default,framer,framer,1,Consani Java Dreams Marilyn Monroe Elvis Presley James Dean,Consani Java Dreams Marilyn Monroe Elvis Presley James Dean,w3933,9.99,0,Enabled,"167, 167","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,,,,+/3933.jpg,+/3933.jpg,+/3933.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
en,grifgraf,11,Default,framer,framer,1,Consani Java Dreams Marilyn Monroe Elvis Presley James Dean,Consani Java Dreams Marilyn Monroe Elvis Presley James Dean,3933,32.99,0,Enabled,"122, 134, 134, 135","Catalog, Search",24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,,,,+/3933.jpg,+/3933.jpg,+/3933.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
fr,grifgraf,10,Default,framer,framer,1,Consani Java Dreams Marilyn Monroe Elvis Presley James Dean,Consani Java Dreams Marilyn Monroe Elvis Presley James Dean,3933,32.99,0,Enabled,"122, 134, 134, 135","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,,,,+/3933.jpg,+/3933.jpg,+/3933.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
eng,collection,12,Default,framer,framer,1,Consani Legendary Crossroads,Consani Legendary Crossroads,w3934,9.99,0,Enabled,"167, 167","Catalog, Search",24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,,,,+/3934.jpg,+/3934.jpg,+/3934.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
fra,collection,13,Default,framer,framer,1,Consani Legendary Crossroads,Consani Legendary Crossroads,w3934,9.99,0,Enabled,"167, 167","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,,,,+/3934.jpg,+/3934.jpg,+/3934.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
en,grifgraf,11,Default,framer,framer,1,Consani Legendary Crossroads,Consani Legendary Crossroads,3934,32.99,0,Enabled,"122, 134, 134, 135","Catalog, Search",24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,,,,+/3934.jpg,+/3934.jpg,+/3934.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
fr,grifgraf,10,Default,framer,framer,1,Consani Legendary Crossroads,Consani Legendary Crossroads,3934,32.99,0,Enabled,"122, 134, 134, 135","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,,,,+/3934.jpg,+/3934.jpg,+/3934.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
eng,collection,12,Default,framer,framer,1,Consani Marilyn Monroe And Elvis Car,Consani Marilyn Monroe And Elvis Car,w3942,9.99,0,Enabled,"167, 167","Catalog, Search",24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,,,,+/3942.jpg,+/3942.jpg,+/3942.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
fra,collection,13,Default,framer,framer,1,Consani Marilyn Monroe And Elvis Car,Consani Marilyn Monroe And Elvis Car,w3942,9.99,0,Enabled,"167, 167","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,,,,+/3942.jpg,+/3942.jpg,+/3942.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
en,grifgraf,11,Default,framer,framer,1,Consani Marilyn Monroe And Elvis Car,Consani Marilyn Monroe And Elvis Car,3942,32.99,0,Enabled,"122, 134, 134, 135","Catalog, Search",24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,,,,+/3942.jpg,+/3942.jpg,+/3942.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
fr,grifgraf,10,Default,framer,framer,1,Consani Marilyn Monroe And Elvis Car,Consani Marilyn Monroe And Elvis Car,3942,32.99,0,Enabled,"122, 134, 134, 135","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,,,,+/3942.jpg,+/3942.jpg,+/3942.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
eng,collection,12,Default,framer,framer,1,Consani James Dean And Marilyn Monroe Car,Consani James Dean And Marilyn Monroe Car,w3943,9.99,0,Enabled,167,"Catalog, Search",24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,,,,+/3943.jpg,+/3943.jpg,+/3943.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
fra,collection,13,Default,framer,framer,1,Consani James Dean And Marilyn Monroe Car,Consani James Dean And Marilyn Monroe Car,w3943,9.99,0,Enabled,167,"Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,,,,+/3943.jpg,+/3943.jpg,+/3943.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
en,grifgraf,11,Default,framer,framer,1,Consani James Dean And Marilyn Monroe Car,Consani James Dean And Marilyn Monroe Car,3943,32.99,0,Enabled,"122, 134","Catalog, Search",24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,,,,+/3943.jpg,+/3943.jpg,+/3943.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
fr,grifgraf,10,Default,framer,framer,1,Consani James Dean And Marilyn Monroe Car,Consani James Dean And Marilyn Monroe Car,3943,32.99,0,Enabled,"122, 134","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,,,,+/3943.jpg,+/3943.jpg,+/3943.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
eng,collection,12,Default,framer,framer,1,Paris Eiffel Tower Blue Vespa Travel Romantic,Paris Eiffel Tower Blue Vespa Travel Romantic,w6184,9.99,0,Enabled,"166, 166, 165","Catalog, Search",24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,,,,+/6184.jpg,+/6184.jpg,+/6184.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
fra,collection,13,Default,framer,framer,1,Paris Eiffel Tower Blue Vespa Travel Romantic,Paris Eiffel Tower Blue Vespa Travel Romantic,w6184,9.99,0,Enabled,"166, 166, 165","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,,,,+/6184.jpg,+/6184.jpg,+/6184.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
en,grifgraf,11,Default,framer,framer,1,Paris Eiffel Tower Blue Vespa Travel Romantic,Paris Eiffel Tower Blue Vespa Travel Romantic,6184,32.99,0,Enabled,"122, 141, 141, 132, 146","Catalog, Search",24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,,,,+/6184.jpg,+/6184.jpg,+/6184.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
fr,grifgraf,10,Default,framer,framer,1,Paris Eiffel Tower Blue Vespa Travel Romantic,Paris Eiffel Tower Blue Vespa Travel Romantic,6184,32.99,0,Enabled,"122, 141, 141, 132, 146","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,,,,+/6184.jpg,+/6184.jpg,+/6184.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
eng,collection,12,Default,framer,framer,1,New York Skyline Shower Curtain,New York Skyline Shower Curtain,w6196,9.99,0,Enabled,"166, 166","Catalog, Search",24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,,,,+/6196.jpg,+/6196.jpg,+/6196.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
fra,collection,13,Default,framer,framer,1,New York Skyline Shower Curtain,New York Skyline Shower Curtain,w6196,9.99,0,Enabled,"166, 166","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,,,,+/6196.jpg,+/6196.jpg,+/6196.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
en,grifgraf,11,Default,framer,framer,1,New York Skyline Shower Curtain,New York Skyline Shower Curtain,6196,32.99,0,Enabled,"122, 141, 141, 133","Catalog, Search",24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,,,,+/6196.jpg,+/6196.jpg,+/6196.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
fr,grifgraf,10,Default,framer,framer,1,New York Skyline Shower Curtain,New York Skyline Shower Curtain,6196,32.99,0,Enabled,"122, 141, 141, 133","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,,,,+/6196.jpg,+/6196.jpg,+/6196.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
eng,collection,12,Default,framer,framer,1,James Dean Quotes Dream As If You Ll Live Forever,James Dean Quotes Dream As If You Ll Live Forever,w6197,9.99,0,Enabled,167,"Catalog, Search",24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,,,,+/6197.jpg,+/6197.jpg,+/6197.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w24:h36:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
fra,collection,13,Default,framer,framer,1,James Dean Quotes Dream As If You Ll Live Forever,James Dean Quotes Dream As If You Ll Live Forever,w6197,9.99,0,Enabled,167,"Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,,,,+/6197.jpg,+/6197.jpg,+/6197.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w24:h36:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
en,grifgraf,11,Default,framer,framer,1,James Dean Quotes Dream As If You Ll Live Forever,James Dean Quotes Dream As If You Ll Live Forever,6197,32.99,0,Enabled,"122, 134","Catalog, Search",24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,,,,+/6197.jpg,+/6197.jpg,+/6197.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w24:h36:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
fr,grifgraf,10,Default,framer,framer,1,James Dean Quotes Dream As If You Ll Live Forever,James Dean Quotes Dream As If You Ll Live Forever,6197,32.99,0,Enabled,"122, 134","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,,,,+/6197.jpg,+/6197.jpg,+/6197.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w24:h36:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
eng,collection,12,Default,framer,framer,1,Marilyn Monroe B&W,Marilyn Monroe B&W,w6198,9.99,0,Enabled,"167, 167","Catalog, Search",24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,,,,+/6198.jpg,+/6198.jpg,+/6198.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w24:h36:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
fra,collection,13,Default,framer,framer,1,Marilyn Monroe B&W,Marilyn Monroe B&W,w6198,9.99,0,Enabled,"167, 167","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,,,,+/6198.jpg,+/6198.jpg,+/6198.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w24:h36:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
en,grifgraf,11,Default,framer,framer,1,Marilyn Monroe B&W,Marilyn Monroe B&W,6198,32.99,0,Enabled,"122, 134, 134, 135","Catalog, Search",24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,,,,+/6198.jpg,+/6198.jpg,+/6198.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w24:h36:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
fr,grifgraf,10,Default,framer,framer,1,Marilyn Monroe B&W,Marilyn Monroe B&W,6198,32.99,0,Enabled,"122, 134, 134, 135","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,,,,+/6198.jpg,+/6198.jpg,+/6198.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w24:h36:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
eng,collection,12,Default,framer,framer,1,Marilyn Monroe New York,Marilyn Monroe New York,w6199,9.99,0,Enabled,"166, 166, 167, 167","Catalog, Search",24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,,,,+/6199.jpg,+/6199.jpg,+/6199.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
fra,collection,13,Default,framer,framer,1,Marilyn Monroe New York,Marilyn Monroe New York,w6199,9.99,0,Enabled,"166, 166, 167, 167","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,,,,+/6199.jpg,+/6199.jpg,+/6199.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
en,grifgraf,11,Default,framer,framer,1,Marilyn Monroe New York,Marilyn Monroe New York,6199,32.99,0,Enabled,"122, 141, 141, 133, 134, 134, 135","Catalog, Search",24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,,,,+/6199.jpg,+/6199.jpg,+/6199.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
fr,grifgraf,10,Default,framer,framer,1,Marilyn Monroe New York,Marilyn Monroe New York,6199,32.99,0,Enabled,"122, 141, 141, 133, 134, 134, 135","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,,,,+/6199.jpg,+/6199.jpg,+/6199.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
