store,websites,store_id,attribute_set,type,product_type_id,has_options,name,product_name,sku,price,weight,status,category_ids,visibility,description,short_description,meta_title,meta_keyword,meta_description,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,url_key,url_path,custom_design,custom_design_from,custom_design_to,page_layout,custom_layout_update,options_container,gift_message_available,enable_googlecheckout,tax_class_id,news_from_date,news_to_date,is_in_stock,manage_stock,use_config_manage_stock,,framer_config[mounts_count],framer_config[mounts_multi_price],framer_config[mounts_begin_price],framer_config[frames_begin_price],framer_config[a_few_images_price],framer_config_options,framer_config[image_generate],framer_apertures_options,frames,mounts,thickness,glazing,wall_view,re_skus,casier,qty
fr,grifgraf,10,Default,framer,framer,1,Scrabbling At The Lock,Scrabbling At The Lock,6303,32.99,0,Enabled,"122, 134, 138","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,,,,+/6303.jpg,+/6303.jpg,+/6303.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w24:h36:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
eng,collection,12,Default,framer,framer,1,Vw Camper Van Front,Vw Camper Van Front,w6360,9.99,0,Enabled,166,"Catalog, Search",24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,24x36 inch poster framed in a 1.375 inch moulding. Finished product is 26.75x38.75 inch.,,,,+/6360.jpg,+/6360.jpg,+/6360.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
fra,collection,13,Default,framer,framer,1,Vw Camper Van Front,Vw Camper Van Front,w6360,9.99,0,Enabled,166,"Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,Affiche 24x36 pouces encadré dans une moulure de 1.375 pouces. Produit fini de 26.75x38.75 pouces.,,,,+/6360.jpg,+/6360.jpg,+/6360.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",5,,,,"3,4,5,6,7,8",,A2,100
en,grifgraf,11,Default,framer,framer,1,Vw Camper Van Front,Vw Camper Van Front,6360,32.99,0,Enabled,"122, 141","Catalog, Search",24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,24x36 inch poster framed in a 2 inch moulding. Finished product is 28x40 inch.,,,,+/6360.jpg,+/6360.jpg,+/6360.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
fr,grifgraf,10,Default,framer,framer,1,Vw Camper Van Front,Vw Camper Van Front,6360,32.99,0,Enabled,"122, 141","Catalog, Search",Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,Affiche 24x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 28x40 pouces.,,,,+/6360.jpg,+/6360.jpg,+/6360.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'24x36'[1,1](image):w36:h24:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
eng,collection,12,Default,framer,framer,1,Marilyn Monroe Red Dress Tri,Marilyn Monroe Red Dress Tri,w6871,9.99,0,Enabled,"167, 167","Catalog, Search",12x36 inch poster framed in a 1.625 inch moulding. Finished product is 15.25x39.25 inch.,12x36 inch poster framed in a 1.625 inch moulding. Finished product is 15.25x39.25 inch.,,,,+/6871.jpg,+/6871.jpg,+/6871.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'12x36'[1,1](image):w36:h12:p0.00",4,,,,"3,4,5,6,7,8",,A2,100
fra,collection,13,Default,framer,framer,1,Marilyn Monroe Red Dress Tri,Marilyn Monroe Red Dress Tri,w6871,9.99,0,Enabled,"167, 167","Catalog, Search",Affiche 12x36 pouces encadré dans une moulure de 1.625 pouces. Produit fini de 15.25x39.25 pouces.,Affiche 12x36 pouces encadré dans une moulure de 1.625 pouces. Produit fini de 15.25x39.25 pouces.,,,,+/6871.jpg,+/6871.jpg,+/6871.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'12x36'[1,1](image):w36:h12:p0.00",4,,,,"3,4,5,6,7,8",,A2,100
en,grifgraf,11,Default,framer,framer,1,Marilyn Monroe Red Dress Tri,Marilyn Monroe Red Dress Tri,6871,44.99,0,Enabled,"122, 134, 134, 135","Catalog, Search",12x36 inch poster framed in a 2 inch moulding. Finished product is 16x40 inch.,12x36 inch poster framed in a 2 inch moulding. Finished product is 16x40 inch.,,,,+/6871.jpg,+/6871.jpg,+/6871.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'12x36'[1,1](image):w36:h12:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
fr,grifgraf,10,Default,framer,framer,1,Marilyn Monroe Red Dress Tri,Marilyn Monroe Red Dress Tri,6871,44.99,0,Enabled,"122, 134, 134, 135","Catalog, Search",Affiche 12x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 16x40 pouces.,Affiche 12x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 16x40 pouces.,,,,+/6871.jpg,+/6871.jpg,+/6871.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'12x36'[1,1](image):w36:h12:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
eng,collection,12,Default,framer,framer,1,Godfather Poster,Godfather Poster,w6872,9.99,0,Enabled,167,"Catalog, Search",12x36 inch poster framed in a 1.625 inch moulding. Finished product is 15.25x39.25 inch.,12x36 inch poster framed in a 1.625 inch moulding. Finished product is 15.25x39.25 inch.,,,,+/6872.jpg,+/6872.jpg,+/6872.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'12x36'[1,1](image):w12:h36:p0.00",4,,,,"3,4,5,6,7,8",,A2,100
fra,collection,13,Default,framer,framer,1,Godfather Poster,Godfather Poster,w6872,9.99,0,Enabled,167,"Catalog, Search",Affiche 12x36 pouces encadré dans une moulure de 1.625 pouces. Produit fini de 15.25x39.25 pouces.,Affiche 12x36 pouces encadré dans une moulure de 1.625 pouces. Produit fini de 15.25x39.25 pouces.,,,,+/6872.jpg,+/6872.jpg,+/6872.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_loose(start,review,apertures):0;paper_framed(start,review,apertures,frames):1",Whis Art,"'12x36'[1,1](image):w12:h36:p0.00",4,,,,"3,4,5,6,7,8",,A2,100
en,grifgraf,11,Default,framer,framer,1,Godfather Poster,Godfather Poster,6872,44.99,0,Enabled,"122, 134","Catalog, Search",12x36 inch poster framed in a 2 inch moulding. Finished product is 16x40 inch.,12x36 inch poster framed in a 2 inch moulding. Finished product is 16x40 inch.,,,,+/6872.jpg,+/6872.jpg,+/6872.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'12x36'[1,1](image):w12:h36:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
fr,grifgraf,10,Default,framer,framer,1,Godfather Poster,Godfather Poster,6872,44.99,0,Enabled,"122, 134","Catalog, Search",Affiche 12x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 16x40 pouces.,Affiche 12x36 pouces encadré dans une moulure de 2 pouces. Produit fini de 16x40 pouces.,,,,+/6872.jpg,+/6872.jpg,+/6872.jpg,,,,,,,,,No layout updates,,container1,No,No,Taxable Goods,,,1,0,0,,1,0,0,0,0,"paper_framed(start,review,apertures,frames):1",Whis Art,"'12x36'[1,1](image):w12:h36:p0.00",2,,,,"3,4,5,6,7,8",,A2,100
